wafer_id,uniformity_percent
wf0205,1.7811822673238293
wf0206,6.705335179995303
wf0207,2.2705607698902313
wf0208,2.270307713634088
wf0209,1.7900762367700664
wf0210,2.6510326146251924
wf0211,3.0891384293428734
wf0212,2.6172839674551933
wf0213,2.338218408352398
wf0214,1.4869502980477953
wf0215,2.2995419429858774
wf0216,2.9822572604831015
wf0217,2.597278381152574
wf0218,1.5333403839410873
wf0219,2.2864111011742034
wf0220,2.6188320745210323
wf0221,1.27838798591732
wf0222,2.6956457659035586
wf0223,6.058650370871862
wf0224,2.248065209699203
wf0225,2.508966777424989
wf0226,2.38962959266641
wf0227,1.7132952605451879
wf0228,2.1932788064654463
wf0229,2.963948610371441
wf0230,2.0103781604804443
wf0231,2.335838841076387
wf0232,2.481594958415959
wf0233,2.547871890137614
wf0234,2.7960553164124273
wf0235,1.5383319058774392
wf0236,2.7967600703613718
wf0237,3.179619655741669
wf0238,2.801700472443812
wf0239,2.329337179031992
wf0240,2.323660011372142
wf0241,5.093582309468181
wf0242,2.205646134234223
wf0243,1.8906727515473534
wf0244,1.9764081079814846
wf0245,2.765335800121254
wf0246,3.728796538649495
wf0247,2.4141230015859065
wf0248,2.965700682698822
wf0249,2.219077120757607
wf0250,2.5984897999652388
wf0251,2.360417338055819
wf0252,2.2372524766186515
wf0253,2.0962833081485597
wf0254,2.634325254643197
wf0255,2.6689764581917714
wf0256,3.363779323751039
wf0257,3.0856483464275275
wf0258,2.3622688393273945
wf0259,3.3861404679355656
wf0260,2.4968244521868215
wf0261,2.9398034512393463
