n,sigma_within,sigma_between
148,14.525812783271016,23.643996106833796
149,14.50919055495421,23.63067456643425
150,14.499323568669483,23.61988734037937
151,14.599522452224035,23.569227176288255
152,14.62431754375904,23.50649608362887
153,14.626710231585223,23.429403737507
154,14.61348049885936,23.351235964328804
155,14.585146717030998,23.280426706883862
156,14.550695816133524,23.205429255145074
157,14.520398787591125,23.132250274202423
158,14.490169020487356,23.06043770237591
159,14.458545193352212,22.99078107276699
160,14.430586448523751,22.92111233134544
161,14.40551539692113,22.848925215374145
162,14.376140384659898,22.777202523139394
163,14.355667172853414,22.85826947099974
164,14.335061688724185,22.946259312359295
165,14.309491993508248,23.043265640163217
166,14.285448681747722,23.132506019525675
167,14.260426994131945,23.06211786349994
168,14.239512388894818,22.992197265322595
169,14.213783393773776,22.94473433924562
170,14.196959731403163,22.944355843299817
171,14.201353492622356,23.022125445840455
172,14.208643898715978,23.12960280639578
173,14.321331343082006,23.1385656886343
174,14.354613518475862,23.113933615322797
175,14.357951665909248,23.06262039059131
176,14.35941478830432,23.004472067711518
177,14.34634553286198,22.937800337078013
178,14.362001918995091,23.28719643424629
179,14.355053054515887,23.417286283412203
180,14.3693130373361,23.370422003757746
181,14.350732120187963,23.616522154198787
182,14.414174592532014,23.840889361161487
183,14.391162698986818,23.837421909582908
184,14.381750837237103,23.9382804606992
185,14.354467790077853,23.873602972706454
186,14.329713270064437,23.8092081480428
187,14.311219215383277,23.757354581071326
188,14.30228299690249,23.70303687582909
189,14.286479888614524,23.64435838958016
190,14.27206793059741,23.624761707016123
191,14.278603876209743,23.686751178984267
192,14.295574826429876,23.80613630789414
193,14.275362287717812,23.748010700432722
194,14.384812294794687,23.72213115732325
195,14.43075002475122,23.679585120460732
196,14.449770252994961,23.623776781895995
197,14.449562378768254,23.56241228473772
198,14.437434055717212,23.503402925614694
199,14.433802089413096,23.443158064808895
200,14.4312387330602,23.434038141274655
201,14.427415338100353,23.37437279544896
202,14.409561281239055,23.360997359273767
203,14.40577175206445,23.446651389498733
204,14.426806958161057,23.697134037215275
205,14.45938298634415,24.0029028168068
206,14.48689728788565,24.281207129477234
207,14.73495204472387,24.328319470184258
208,14.831017512124989,24.351196528064754
209,14.84590224268426,24.320760262885774
210,14.84314618718852,24.26814189931164
211,14.830810784827738,24.215224612915957
212,14.827750530114852,24.17783648641703
213,14.849496294196133,24.216803051292803
214,14.905366182444837,24.40696144899622
215,14.898662397847025,24.348563500490506
216,14.895753926855871,24.29039277706729
217,14.88351836259884,24.268486819605524
218,14.894588280909613,24.41344584852211
219,14.91893682855737,24.650976861634383
220,14.951003262087422,24.969077140021902
221,14.986315944437278,25.310562760931163
222,14.973970887525065,25.252262975209156
223,15.054382070500477,25.249911024346193
224,15.086352464392705,25.22827160659643
225,15.09816676149809,25.19551069064279
226,15.099048488719166,25.14254579866458
227,15.107924855683867,25.69061980234929
228,15.112057392317936,26.082391366164263
229,15.12962078303001,26.039150543226672
230,15.12914377855854,26.531020505693213
231,15.173357713925446,26.817492128135527
232,15.16042909358484,26.92969700429413
233,15.156742863226436,27.12591764273867
234,15.14700376094163,27.090195917251634
235,15.13906872361656,27.05200003148558
236,15.133625870329464,27.013092435277205
237,15.131138634345895,26.983659362592675
238,15.295437890934199,26.944550553043893
239,15.387409794789717,27.112803246920492
240,15.451528790806766,27.730128190091044
241,15.596972114205071,27.671892604650434
242,15.589411806689315,27.783169764746074
243,15.61189030774322,27.966416263324078
244,15.800700331496131,28.094871248195325
245,15.883034532358618,28.08944281683335
246,15.86981108067104,28.064941165888488
247,15.860338001556485,28.016751782507843
248,15.842513960038923,27.982112886730302
249,15.827518161330781,27.92772149277073
250,15.820672788352036,27.870918281202748
251,15.809356715061163,27.814595564807487
252,15.798637993914523,27.76357801241079
253,15.791420532458705,27.71544327057145
254,15.788540270787975,27.82679785773787
255,15.780347831228566,27.945996776375537
256,15.780359120895351,27.922703463594935
257,15.772082917975217,27.867810182518184
258,15.775685674106942,27.875169598833192
259,15.799661230409136,27.973588637224363
260,15.833607966044461,28.13459780060263
261,15.873883776697676,28.356226956299
