wafer_id,site,site_value
wf0019,S2,549.109
wf0019,S3,565.039
wf0019,S4,588.486
wf0019,S5,590.363
wf0019,S6,581.927
wf0019,S7,574.693
wf0019,S8,577.75
wf0019,S9,577.337
wf0019,S10,560.568
wf0019,S11,579.653
wf0019,S12,588.145
wf0019,S13,588.627
wf0020,S1,593.982
wf0020,S2,605.262
wf0020,S3,608.87
wf0020,S4,597.749
wf0020,S5,610.805
wf0020,S6,591.617
wf0020,S7,601.801
wf0020,S8,604.812
wf0020,S9,592.419
wf0020,S10,590.47
wf0020,S11,591.394
wf0020,S12,594.615
wf0020,S13,606.082
wf0021,S1,602.233
wf0021,S2,603.594
wf0021,S3,598.103
wf0021,S4,604.239
wf0021,S5,618.494
wf0021,S6,593.425
wf0021,S7,604.029
wf0021,S8,608.921
wf0021,S9,599.099
wf0021,S10,606.655
wf0021,S11,609.078
wf0021,S12,606.029
wf0021,S13,609.001
wf0022,S1,593.345
wf0022,S2,601.84
wf0022,S3,597.83
wf0022,S4,603.803
wf0022,S5,610.569
wf0022,S6,617.179
wf0022,S7,601.647
wf0022,S8,589.95
wf0022,S9,603.888
wf0022,S10,595.723
wf0022,S11,597.753
wf0022,S12,591.074
wf0022,S13,603.193
wf0023,S1,598.613
wf0023,S2,584.869
wf0023,S3,584.429
wf0023,S4,574.953
wf0023,S5,594.203
wf0023,S6,599.986
wf0023,S7,598.318
wf0023,S8,591.075
wf0023,S9,593.81
wf0023,S10,599.55
wf0023,S11,598.103
wf0023,S12,591.871
wf0023,S13,588.484
wf0024,S1,633.21
wf0024,S2,627.206
wf0024,S3,647.944
wf0024,S4,643.666
wf0024,S5,619.143
wf0024,S6,643.367
wf0024,S7,629.249
wf0024,S8,625.599
wf0024,S9,623.67
wf0024,S10,632.034
wf0024,S11,626.103
wf0024,S12,622.202
wf0024,S13,630.456
wf0025,S1,604.97
wf0025,S2,588.337
wf0025,S3,603.871
wf0025,S4,586.935
wf0025,S5,580.642
wf0025,S6,606.7
wf0025,S7,605.631
wf0025,S8,607.248
wf0025,S9,597.571
wf0025,S10,603.944
wf0025,S11,612.173
wf0025,S12,590.53
wf0025,S13,607.954
wf0026,S1,624.5
wf0026,S2,616.64
wf0026,S3,611.531
wf0026,S4,611.369
wf0026,S5,626.176
wf0026,S6,627.476
wf0026,S7,640.72
wf0026,S8,638.545
wf0026,S9,638.122
wf0026,S10,621.014
wf0026,S11,607.793
wf0026,S12,623.556
wf0026,S13,622.331
wf0027,S1,619.167
wf0027,S2,598.329
wf0027,S3,602.142
wf0027,S4,605.822
wf0027,S5,605.327
wf0027,S6,614.698
wf0027,S7,597.614
wf0027,S8,621.616
wf0027,S9,607.417
wf0027,S10,609.319
wf0027,S11,600.216
wf0027,S12,612.589
wf0027,S13,614.328
wf0028,S1,627.729
wf0028,S2,597.877
wf0028,S3,613.885
wf0028,S4,595.493
wf0028,S5,601.509
wf0028,S6,625.048
wf0028,S7,584.374
wf0028,S8,586.505
wf0028,S9,610.371
wf0028,S10,600.908
wf0028,S11,645.33
wf0028,S12,602.907
wf0028,S13,621.894
wf0029,S1,600.215
wf0029,S2,593.491
wf0029,S3,629.044
wf0029,S4,608.528
wf0029,S5,608.17
wf0029,S6,605.71
wf0029,S7,614.49
wf0029,S8,620.402
wf0029,S9,592.367
wf0029,S10,599.239
wf0029,S11,622.07
wf0029,S12,598.169
wf0029,S13,611.833
wf0030,S1,617.606
wf0030,S2,630.456
wf0030,S3,634.261
wf0030,S4,628.724
wf0030,S5,619.167
wf0030,S6,648.84
wf0030,S7,633.973
wf0030,S8,642.713
wf0030,S9,610.582
wf0030,S10,628.452
wf0030,S11,637.994
wf0030,S12,615.479
wf0030,S13,624.178
wf0031,S1,608.67
wf0031,S2,615.265
wf0031,S3,615.436
wf0031,S4,621.473
wf0031,S5,607.782
wf0031,S6,621.87
wf0031,S7,630.445
wf0031,S8,595.74
wf0031,S9,612.431
wf0031,S10,620.039
wf0031,S11,618.458
wf0031,S12,630.701
wf0031,S13,609.946
wf0032,S1,621.428
wf0032,S2,588.833
wf0032,S3,614.688
wf0032,S4,548.234
wf0032,S5,607.79
wf0032,S6,596.039
wf0032,S7,597.114
wf0032,S8,599.914
wf0032,S9,606.702
wf0032,S10,593.63
wf0032,S11,616.466
wf0032,S12,586.397
wf0032,S13,604.199
wf0033,S1,624.339
wf0033,S2,639.345
wf0033,S3,640.439
wf0033,S4,616.007
wf0033,S5,610.885
wf0033,S6,604.06
wf0033,S7,626.127
wf0033,S8,609.265
wf0033,S9,618.936
wf0033,S10,633.313
wf0033,S11,624.722
wf0033,S12,604.899
wf0033,S13,639.795
wf0034,S1,667.449
wf0034,S2,665.464
wf0034,S3,657.929
wf0034,S4,649.982
wf0034,S5,666.832
wf0034,S6,674.459
wf0034,S7,663.255
wf0034,S8,654.352
wf0034,S9,675.653
wf0034,S10,666.594
wf0034,S11,682.333
wf0034,S12,666.388
wf0034,S13,667.027
wf0035,S1,587.866
wf0035,S2,575.935
wf0035,S3,590.283
wf0035,S4,582.752
wf0035,S5,575.031
wf0035,S6,589.351
wf0035,S7,592.074
wf0035,S8,586.844
wf0035,S9,583.925
wf0035,S10,579.769
wf0035,S11,568.944
wf0035,S12,587.873
wf0035,S13,576.055
wf0036,S1,611.166
wf0036,S2,589.228
wf0036,S3,594.782
wf0036,S4,616.491
wf0036,S5,623.8
wf0036,S6,613.212
wf0036,S7,604.085
wf0036,S8,629.5
wf0036,S9,617.878
wf0036,S10,621.423
wf0036,S11,619.7
wf0036,S12,606.73
wf0036,S13,609.204
wf0037,S1,625.955
wf0037,S2,607.221
wf0037,S3,621.345
wf0037,S4,605.747
wf0037,S5,616.104
wf0037,S6,609.718
wf0037,S7,623.842
wf0037,S8,618.199
wf0037,S9,619.39
wf0037,S10,604.239
wf0037,S11,623.507
wf0037,S12,611.034
wf0037,S13,605.887
wf0038,S1,609.355
wf0038,S2,617.063
wf0038,S3,618.722
wf0038,S4,602.846
wf0038,S5,606.95
wf0038,S6,611.587
wf0038,S7,610.761
wf0038,S8,614.242
wf0038,S9,631.078
wf0038,S10,602.861
wf0038,S11,606.344
wf0038,S12,602.258
wf0038,S13,605.296
wf0039,S1,636.929
wf0039,S2,632.186
wf0039,S3,618.823
wf0039,S4,641.036
wf0039,S5,632.448
wf0039,S6,650.41
wf0039,S7,640.506
wf0039,S8,628.848
wf0039,S9,620.594
wf0039,S10,621.394
wf0039,S11,630.85
wf0039,S12,628.329
wf0039,S13,653.529
wf0040,S1,604.569
wf0040,S2,620.361
wf0040,S3,615.148
wf0040,S4,607.619
wf0040,S5,616.859
wf0040,S6,599.886
wf0040,S7,612.107
wf0040,S8,609.082
wf0040,S9,593.644
wf0040,S10,613.762
wf0040,S11,616.548
wf0040,S12,599.05
wf0040,S13,611.885
wf0041,S1,638.553
wf0041,S2,633.731
wf0041,S3,635.296
wf0041,S4,637.561
wf0041,S5,623.823
wf0041,S6,629.35
wf0041,S7,628.792
wf0041,S8,604.478
wf0041,S9,642.606
wf0041,S10,626.473
wf0041,S11,631.149
wf0041,S12,609.304
wf0041,S13,621.64
wf0042,S1,635.057
wf0042,S2,632.081
wf0042,S3,623.332
wf0042,S4,626.731
wf0042,S5,628.449
wf0042,S6,643.815
wf0042,S7,621.082
wf0042,S8,647.966
wf0042,S9,614.396
wf0042,S10,626.89
wf0042,S11,627.534
wf0042,S12,638.479
wf0042,S13,631.76
wf0043,S1,603.877
wf0043,S2,618.134
wf0043,S3,589.976
wf0043,S4,590.523
wf0043,S5,597.043
wf0043,S6,583.471
wf0043,S7,594.953
wf0043,S8,581.703
wf0043,S9,605.338
wf0043,S10,593.053
wf0043,S11,595.076
wf0043,S12,591.675
wf0043,S13,600.559
wf0044,S1,572.644
wf0044,S2,626.373
wf0044,S3,592.472
wf0044,S4,587.668
wf0044,S5,577.689
wf0044,S6,579.696
wf0044,S7,586.179
wf0044,S8,611.417
wf0044,S9,597.83
wf0044,S10,583.482
wf0044,S11,609.594
wf0044,S12,584.452
wf0044,S13,596.75
wf0045,S1,653.212
wf0045,S2,642.651
wf0045,S3,649.207
wf0045,S4,658.644
wf0045,S5,648.8
wf0045,S6,646.305
wf0045,S7,667.06
wf0045,S8,649.401
wf0045,S9,647.388
wf0045,S10,649.247
wf0045,S11,650.986
wf0045,S12,651.06
wf0045,S13,648.244
wf0046,S1,618.289
wf0046,S2,585.046
wf0046,S3,602.252
wf0046,S4,617.345
wf0046,S5,615.898
wf0046,S6,620.876
wf0046,S7,604.657
wf0046,S8,601.193
wf0046,S9,606.191
wf0046,S10,611.593
wf0046,S11,604.861
wf0046,S12,600.812
wf0046,S13,641.966
wf0047,S1,631.477
wf0047,S2,636.637
wf0047,S3,608.522
wf0047,S4,608.692
wf0047,S5,604.299
wf0047,S6,617.881
wf0047,S7,612.31
wf0047,S8,607.381
wf0047,S9,615.455
wf0047,S10,615.557
wf0047,S11,610.445
wf0047,S12,609.119
wf0047,S13,628.364
wf0048,S1,639.021
wf0048,S2,652.454
wf0048,S3,647.711
wf0048,S4,660.93
wf0048,S5,654.902
wf0048,S6,628.96
wf0048,S7,634.206
wf0048,S8,642.422
wf0048,S9,636.481
wf0048,S10,657.015
wf0048,S11,648.124
wf0048,S12,644.694
wf0048,S13,654.22
wf0049,S1,638.782
wf0049,S2,622.45
wf0049,S3,631.362
wf0049,S4,622.492
wf0049,S5,617.491
wf0049,S6,610.832
wf0049,S7,616.67
wf0049,S8,624.607
wf0049,S9,638.091
wf0049,S10,627.252
wf0049,S11,619.033
wf0049,S12,622.257
wf0049,S13,634.7
wf0050,S1,585.765
wf0050,S2,613.33
wf0050,S3,608.763
wf0050,S4,607.11
wf0050,S5,612.085
wf0050,S6,600.481
wf0050,S7,589.362
wf0050,S8,615.108
wf0050,S9,584.139
wf0050,S10,603.738
wf0050,S11,609.323
wf0050,S12,610.191
wf0050,S13,591.529
wf0051,S1,611.755
wf0051,S2,605.689
wf0051,S3,596.365
wf0051,S4,613.009
wf0051,S5,610.351
wf0051,S6,612.424
wf0051,S7,626.177
wf0051,S8,609.015
wf0051,S9,607.21
wf0051,S10,602.541
wf0051,S11,613.138
wf0051,S12,608.309
wf0051,S13,595.843
wf0052,S1,651.362
wf0052,S2,640.885
wf0052,S3,619.356
wf0052,S4,624.447
wf0052,S5,629.329
wf0052,S6,636.186
wf0052,S7,625.849
wf0052,S8,647.326
wf0052,S9,656.939
wf0052,S10,635.484
wf0052,S11,636.448
wf0052,S12,644.219
wf0052,S13,631.331
wf0053,S1,631.831
wf0053,S2,650.863
wf0053,S3,623.978
wf0053,S4,611.419
wf0053,S5,652.909
wf0053,S6,607.378
wf0053,S7,639.363
wf0053,S8,639.012
wf0053,S9,620.169
wf0053,S10,659.378
wf0053,S11,589.929
wf0053,S12,650.721
wf0053,S13,636.138
wf0054,S1,620.226
wf0054,S2,617.201
wf0054,S3,628.519
wf0054,S4,613.624
wf0054,S5,604.382
wf0054,S6,612.485
wf0054,S7,587.329
wf0054,S8,610.245
wf0054,S9,597.552
wf0054,S10,619.064
wf0054,S11,601.328
wf0054,S12,621.825
wf0054,S13,618.381
wf0055,S1,612.693
wf0055,S2,662.093
wf0055,S3,645.966
wf0055,S4,662.374
wf0055,S5,659.542
wf0055,S6,641.241
wf0055,S7,619.261
wf0055,S8,678.667
wf0055,S9,589.6
wf0055,S10,663.986
wf0055,S11,635.318
wf0055,S12,638.602
wf0055,S13,668.348
wf0056,S1,617.064
wf0056,S2,627.032
wf0056,S3,621.717
wf0056,S4,602.734
wf0056,S5,609.751
wf0056,S6,609.562
wf0056,S7,602.233
wf0056,S8,600.314
wf0056,S9,620.608
wf0056,S10,616.332
wf0056,S11,613.911
wf0056,S12,605.887
wf0056,S13,611.424
wf0057,S1,613.29
wf0057,S2,620.059
wf0057,S3,626.079
wf0057,S4,603.456
wf0057,S5,610.528
wf0057,S6,613.611
wf0057,S7,620.821
wf0057,S8,614.735
wf0057,S9,619.915
wf0057,S10,630.562
wf0057,S11,619.731
wf0057,S12,605.389
wf0057,S13,613.494
wf0058,S1,593.75
wf0058,S2,580.658
wf0058,S3,588.713
wf0058,S4,591.978
wf0058,S5,589.843
wf0058,S6,579.258
wf0058,S7,590.189
wf0058,S8,576.204
wf0058,S9,606.764
wf0058,S10,603.154
wf0058,S11,594.902
wf0058,S12,589.603
wf0058,S13,593.388
wf0059,S1,620.366
wf0059,S2,593.624
wf0059,S3,632.149
wf0059,S4,629.912
wf0059,S5,619.28
wf0059,S6,603.815
wf0059,S7,608.0
wf0059,S8,611.282
wf0059,S9,607.441
wf0059,S10,616.52
wf0059,S11,628.857
wf0059,S12,605.564
wf0059,S13,602.046
wf0060,S1,632.183
wf0060,S2,626.08
wf0060,S3,625.039
wf0060,S4,625.384
wf0060,S5,612.427
wf0060,S6,619.844
wf0060,S7,618.849
wf0060,S8,614.736
wf0060,S9,614.712
wf0060,S10,623.568
wf0060,S11,603.942
wf0060,S12,615.146
wf0060,S13,613.697
wf0061,S1,620.274
wf0061,S2,626.872
wf0061,S3,617.426
wf0061,S4,624.7
wf0061,S5,632.793
wf0061,S6,635.993
wf0061,S7,599.791
wf0061,S8,619.037
wf0061,S9,633.745
wf0061,S10,584.023
wf0061,S11,612.627
wf0061,S12,619.457
wf0061,S13,630.677
wf0062,S1,504.379
wf0062,S2,511.461
wf0062,S3,491.818
wf0062,S4,500.352
wf0062,S5,508.074
wf0062,S6,526.373
wf0062,S7,507.522
wf0062,S8,498.109
wf0062,S9,493.821
wf0062,S10,507.803
wf0062,S11,510.062
wf0062,S12,518.016
wf0062,S13,493.268
wf0063,S1,606.447
wf0063,S2,617.175
wf0063,S3,602.576
wf0063,S4,614.766
wf0063,S5,591.477
wf0063,S6,594.39
wf0063,S7,595.505
wf0063,S8,606.78
wf0063,S9,600.17
wf0063,S10,609.025
wf0063,S11,596.934
wf0063,S12,602.726
wf0063,S13,604.634
wf0064,S1,602.853
wf0064,S2,607.78
wf0064,S3,627.327
wf0064,S4,608.206
wf0064,S5,613.727
wf0064,S6,609.471
wf0064,S7,602.678
wf0064,S8,603.275
wf0064,S9,619.628
wf0064,S10,603.419
wf0064,S11,609.626
wf0064,S12,614.166
wf0064,S13,627.543
wf0065,S1,598.421
wf0065,S2,612.75
wf0065,S3,615.657
wf0065,S4,620.628
wf0065,S5,600.904
wf0065,S6,628.385
wf0065,S7,605.135
wf0065,S8,630.943
wf0065,S9,598.592
wf0065,S10,600.546
wf0065,S11,603.469
wf0065,S12,609.668
wf0065,S13,610.581
wf0066,S1,656.927
wf0066,S2,653.959
wf0066,S3,633.319
wf0066,S4,642.385
wf0066,S5,654.932
wf0066,S6,639.353
wf0066,S7,653.582
wf0066,S8,638.162
wf0066,S9,647.786
wf0066,S10,650.544
wf0066,S11,670.049
wf0066,S12,644.577
wf0066,S13,651.052
wf0067,S1,594.783
wf0067,S2,599.271
wf0067,S3,608.186
wf0067,S4,603.387
wf0067,S5,592.264
wf0067,S6,596.089
wf0067,S7,608.018
wf0067,S8,593.348
wf0067,S9,597.138
wf0067,S10,596.794
wf0067,S11,585.056
wf0067,S12,594.713
wf0067,S13,588.291
wf0068,S1,605.314
wf0068,S2,611.529
wf0068,S3,601.276
wf0068,S4,611.27
wf0068,S5,606.759
wf0068,S6,622.407
wf0068,S7,609.21
wf0068,S8,615.01
wf0068,S9,602.929
wf0068,S10,597.462
wf0068,S11,604.592
wf0068,S12,619.589
wf0068,S13,622.959
wf0069,S1,625.563
wf0069,S2,607.777
wf0069,S3,618.135
wf0069,S4,625.917
wf0069,S5,608.938
wf0069,S6,614.303
wf0069,S7,606.212
wf0069,S8,613.57
wf0069,S9,620.809
wf0069,S10,629.839
wf0069,S11,601.339
wf0069,S12,606.75
wf0069,S13,609.187
wf0070,S1,678.4
wf0070,S2,674.19
wf0070,S3,691.582
wf0070,S4,686.423
wf0070,S5,694.569
wf0070,S6,681.685
wf0070,S7,670.281
wf0070,S8,690.223
wf0070,S9,670.828
wf0070,S10,683.119
wf0070,S11,678.646
wf0070,S12,690.077
wf0070,S13,687.546
wf0071,S1,538.21
wf0071,S2,514.064
wf0071,S3,528.924
wf0071,S4,529.123
wf0071,S5,543.71
wf0071,S6,520.127
wf0071,S7,538.444
wf0071,S8,530.915
wf0071,S9,522.209
wf0071,S10,536.096
wf0071,S11,533.41
wf0071,S12,535.619
wf0071,S13,539.962
wf0072,S1,618.816
wf0072,S2,625.899
wf0072,S3,616.77
wf0072,S4,620.252
wf0072,S5,640.501
wf0072,S6,610.448
wf0072,S7,622.364
wf0072,S8,619.614
wf0072,S9,614.261
wf0072,S10,628.906
wf0072,S11,616.481
wf0072,S12,605.464
wf0072,S13,634.145
wf0073,S1,610.365
wf0073,S2,617.637
wf0073,S3,614.166
wf0073,S4,619.533
wf0073,S5,622.337
wf0073,S6,608.61
wf0073,S7,616.753
wf0073,S8,634.492
wf0073,S9,608.333
wf0073,S10,625.623
wf0073,S11,616.107
wf0073,S12,624.366
wf0073,S13,631.606
wf0074,S1,600.414
wf0074,S2,581.314
wf0074,S3,588.651
wf0074,S4,585.532
wf0074,S5,592.313
wf0074,S6,588.362
wf0074,S7,590.555
wf0074,S8,587.229
wf0074,S9,580.453
wf0074,S10,581.2
wf0074,S11,584.905
wf0074,S12,577.592
wf0074,S13,610.929
wf0075,S1,610.098
wf0075,S2,620.992
wf0075,S3,628.254
wf0075,S4,608.218
wf0075,S5,622.594
wf0075,S6,631.754
wf0075,S7,623.846
wf0075,S8,608.871
wf0075,S9,617.921
wf0075,S10,606.686
wf0075,S11,629.878
wf0075,S12,622.391
wf0075,S13,604.988
wf0076,S1,638.043
wf0076,S2,656.412
wf0076,S3,663.373
wf0076,S4,629.667
wf0076,S5,634.793
wf0076,S6,632.698
wf0076,S7,633.658
wf0076,S8,660.504
wf0076,S9,629.141
wf0076,S10,643.588
wf0076,S11,649.147
wf0076,S12,629.07
wf0076,S13,639.029
wf0077,S1,622.892
wf0077,S2,607.938
wf0077,S3,630.851
wf0077,S4,607.348
wf0077,S5,591.745
wf0077,S6,598.063
wf0077,S7,610.453
wf0077,S8,620.603
wf0077,S9,603.419
wf0077,S10,612.247
wf0077,S11,601.236
wf0077,S12,614.332
wf0077,S13,643.16
wf0078,S1,621.676
wf0078,S2,615.799
wf0078,S3,599.147
wf0078,S4,611.274
wf0078,S5,615.959
wf0078,S6,614.26
wf0078,S7,601.441
wf0078,S8,617.246
wf0078,S9,609.077
wf0078,S10,593.085
wf0078,S11,614.908
wf0078,S12,620.919
wf0078,S13,614.694
wf0079,S1,616.842
wf0079,S2,620.571
wf0079,S3,632.087
wf0079,S4,612.741
wf0079,S5,624.225
wf0079,S6,600.474
wf0079,S7,611.831
wf0079,S8,610.447
wf0079,S9,611.357
wf0079,S10,627.051
wf0079,S11,598.094
wf0079,S12,612.765
wf0079,S13,611.143
wf0080,S1,641.722
wf0080,S2,633.233
wf0080,S3,638.636
wf0080,S4,645.351
wf0080,S5,612.04
wf0080,S6,625.442
wf0080,S7,648.966
wf0080,S8,634.191
wf0080,S9,633.948
wf0080,S10,649.687
wf0080,S11,635.751
wf0080,S12,627.938
wf0080,S13,639.068
wf0081,S1,471.912
wf0081,S2,478.774
wf0081,S3,470.39
wf0081,S4,465.041
wf0081,S5,484.394
wf0081,S6,470.038
wf0081,S7,465.843
wf0081,S8,475.917
wf0081,S9,464.783
wf0081,S10,460.63
wf0081,S11,460.342
wf0081,S12,472.787
wf0081,S13,473.789
wf0082,S1,627.604
wf0082,S2,629.488
wf0082,S3,624.103
wf0082,S4,625.403
wf0082,S5,625.15
wf0082,S6,635.845
wf0082,S7,642.921
wf0082,S8,654.193
wf0082,S9,639.302
wf0082,S10,644.162
wf0082,S11,651.463
wf0082,S12,654.825
wf0082,S13,652.357
wf0083,S1,626.217
wf0083,S2,622.372
wf0083,S3,635.861
wf0083,S4,614.598
wf0083,S5,620.04
wf0083,S6,620.698
wf0083,S7,628.422
wf0083,S8,643.672
wf0083,S9,609.437
wf0083,S10,623.712
wf0083,S11,633.367
wf0083,S12,619.805
wf0083,S13,607.17
wf0084,S1,633.303
wf0084,S2,615.866
wf0084,S3,641.528
wf0084,S4,635.92
wf0084,S5,640.062
wf0084,S6,640.634
wf0084,S7,651.801
wf0084,S8,652.376
wf0084,S9,648.761
wf0084,S10,622.647
wf0084,S11,650.643
wf0084,S12,628.154
wf0084,S13,643.477
wf0085,S1,608.985
wf0085,S2,597.103
wf0085,S3,593.104
wf0085,S4,616.549
wf0085,S5,614.121
wf0085,S6,601.0
wf0085,S7,599.544
wf0085,S8,611.167
wf0085,S9,602.104
wf0085,S10,595.233
wf0085,S11,616.16
wf0085,S12,616.101
wf0085,S13,595.356
wf0086,S1,638.93
wf0086,S2,612.83
wf0086,S3,606.278
wf0086,S4,630.212
wf0086,S5,612.652
wf0086,S6,637.126
wf0086,S7,600.562
wf0086,S8,617.601
wf0086,S9,643.136
wf0086,S10,622.454
wf0086,S11,619.725
wf0086,S12,620.033
wf0086,S13,619.735
wf0087,S1,607.417
wf0087,S2,616.919
wf0087,S3,605.15
wf0087,S4,597.801
wf0087,S5,601.804
wf0087,S6,601.182
wf0087,S7,596.985
wf0087,S8,569.027
wf0087,S9,588.686
wf0087,S10,600.459
wf0087,S11,600.68
wf0087,S12,595.349
wf0087,S13,603.573
wf0088,S1,606.169
wf0088,S2,600.223
wf0088,S3,627.484
wf0088,S4,606.493
wf0088,S5,613.689
wf0088,S6,623.698
wf0088,S7,602.61
wf0088,S8,618.915
wf0088,S9,607.451
wf0088,S10,621.692
wf0088,S11,601.739
wf0088,S12,608.587
wf0088,S13,611.034
wf0089,S1,603.23
wf0089,S2,577.774
wf0089,S3,606.591
wf0089,S4,604.701
wf0089,S5,597.244
wf0089,S6,601.9
wf0089,S7,611.692
wf0089,S8,601.519
wf0089,S9,602.471
wf0089,S10,623.407
wf0089,S11,615.261
wf0089,S12,589.682
wf0089,S13,598.25
wf0090,S1,624.016
wf0090,S2,612.682
wf0090,S3,611.307
wf0090,S4,610.961
wf0090,S5,603.707
wf0090,S6,606.487
wf0090,S7,627.522
