A,B,C,D,E,T,P,P_surrogate
10.034338,5.122764,2.614028,1.857023,1.220116,18.255140,18.385033,18.379351
11.401675,5.716022,3.426714,2.538190,2.092666,19.991005,20.073694,20.080022
10.131963,5.728417,3.135506,2.064269,2.109419,20.258097,19.263049,19.244236
9.556764,5.434999,2.887630,1.843844,2.352752,16.743320,17.864327,17.881975
9.735706,6.014593,2.933802,1.949680,1.902648,19.034640,19.380238,19.407942
9.236198,5.729885,2.841141,2.003504,2.018831,18.383042,18.145311,18.150406
9.105624,5.647096,2.119186,1.387900,1.858894,17.382687,17.590744,17.589353
10.441288,5.981945,3.034699,2.065823,1.764749,19.277566,19.565281,19.566330
10.406816,5.633197,2.678837,1.758186,1.857378,18.365566,18.865177,18.873919
10.906191,6.286143,2.699195,1.814985,1.931000,21.002932,20.350413,20.349917
9.471776,5.923009,2.807921,1.844970,2.271088,17.612140,18.202265,18.202828
11.182375,5.633983,3.219691,2.297879,2.000442,20.692640,19.918146,19.933012
9.798829,5.119507,2.648841,1.949575,1.841891,16.362392,17.773110,17.794927
11.102086,5.342286,2.569716,1.741147,2.028376,18.713195,18.749054,18.761887
9.697050,6.180391,3.191956,2.209497,2.043514,19.502800,19.890171,19.903624
9.485162,5.782289,3.226311,2.188694,1.864754,17.667849,18.145571,18.156095
10.174850,5.700906,2.712320,1.962374,2.228647,19.366029,19.263049,19.239785
10.722017,6.375138,3.168719,2.228790,1.622330,21.016404,20.462568,20.459669
10.112707,5.351073,2.912510,2.230056,1.957291,17.563412,18.568418,18.620965
9.590130,5.595020,3.090388,2.031815,2.133013,17.033955,18.097836,18.117249
9.061146,5.634594,2.621712,1.878699,1.732313,16.440701,17.590744,17.602509
9.018936,6.005218,3.249868,2.328187,2.072251,18.564736,18.614685,18.604608
