wafer_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
wf0043,653.835,647.678,636.755,645.488,657.394,627.957,627.106,625.333,628.002,623.598,618.486,620.523,621.024
wf0044,637.813,620.11,633.822,622.13,637.664,626.848,629.945,627.172,630.148,617.174,617.579,619.623,617.671
wf0045,604.632,596.445,623.32,596.385,604.253,617.873,621.274,621.635,618.659,619.805,619.178,616.207,610.34
wf0046,593.926,590.887,621.447,585.561,595.507,614.773,616.84,620.193,617.841,613.904,614.167,613.309,608.984
wf0047,562.817,557.814,609.957,556.817,564.802,604.482,603.048,600.718,600.974,603.082,601.834,602.448,603.645
wf0048,540.819,533.403,604.67,534.323,542.419,593.242,593.479,591.907,587.354,599.815,597.887,593.852,597.144
wf0049,615.101,597.724,629.319,606.572,614.811,610.079,607.159,608.543,613.217,603.285,604.226,605.211,599.387
wf0050,615.718,600.33,631.339,602.616,607.594,615.782,619.393,616.508,610.456,615.202,610.042,613.036,608.546
wf0051,613.442,598.613,626.641,599.237,612.988,616.512,619.136,618.033,616.284,614.415,611.852,616.039,617.041
wf0052,615.252,599.728,613.81,603.564,613.601,629.212,622.674,621.695,624.951,618.518,617.246,613.42,614.449
wf0053,608.086,602.212,604.156,599.189,611.278,615.515,619.431,613.3,615.967,608.331,604.355,604.961,603.482
wf0054,650.928,639.563,644.407,640.062,647.664,625.673,625.833,622.232,619.599,622.164,619.044,623.509,614.39
wf0055,644.624,629.242,633.731,626.756,638.192,621.319,625.473,621.507,619.896,621.6,618.543,619.45,612.778
wf0056,631.858,614.656,631.937,623.391,631.401,618.611,621.142,622.253,617.892,621.223,619.654,615.244,610.185
wf0057,606.106,596.738,622.791,594.719,603.194,617.898,620.207,617.655,612.573,613.693,604.743,611.864,612.492
wf0058,613.052,607.812,619.239,607.29,620.592,621.838,623.169,628.839,617.979,618.614,613.634,618.577,615.707
wf0059,614.265,605.622,622.189,602.121,617.704,627.186,625.322,621.546,623.525,620.607,619.234,617.746,612.671
wf0060,615.325,604.724,622.606,605.819,615.382,630.623,629.147,624.524,622.719,615.709,617.936,616.36,613.126
wf0061,653.584,633.429,647.433,636.186,645.507,614.114,621.102,618.357,615.654,611.093,605.431,604.426,599.593
wf0062,645.177,636.055,619.006,636.294,656.394,633.154,633.35,629.419,633.732,617.303,614.616,625.952,618.495
wf0063,601.987,589.588,628.263,594.032,605.016,603.885,604.098,603.691,601.474,605.74,600.343,601.457,600.379
wf0064,601.048,594.751,617.895,597.051,606.76,620.8,627.587,621.944,624.505,614.812,617.579,621.058,612.432
wf0065,622.045,614.662,636.454,611.273,619.135,605.795,614.925,611.581,608.295,604.983,605.546,605.382,596.659
wf0066,623.833,609.493,616.0,618.43,625.47,632.285,631.891,628.648,629.836,624.346,614.318,617.743,615.98
wf0067,655.198,634.867,645.473,641.659,652.799,632.874,632.179,624.839,628.919,624.571,619.181,626.34,618.737
wf0068,607.505,597.241,625.043,593.765,604.677,618.773,624.243,618.443,618.799,615.6,617.543,619.57,609.545
wf0069,628.376,611.584,635.179,618.959,631.353,627.315,627.764,625.961,624.446,621.161,613.18,620.845,617.439
wf0070,611.247,602.98,632.465,604.333,614.549,617.03,618.766,617.538,617.865,614.256,612.979,619.572,611.803
wf0071,622.953,608.138,627.333,608.574,624.663,631.868,632.908,630.869,624.266,626.08,623.123,623.109,618.761
wf0072,628.703,610.659,627.866,609.629,621.298,626.948,636.581,629.61,629.627,627.072,623.644,620.832,620.12
wf0073,618.083,604.7,624.726,613.585,626.154,628.218,632.816,630.11,633.443,621.765,617.147,619.893,622.795
wf0074,620.532,606.679,626.099,607.92,624.126,627.976,631.651,627.921,627.535,617.415,614.347,623.579,619.723
wf0075,621.83,605.722,621.935,611.717,617.055,628.942,634.761,627.053,622.225,622.995,617.767,619.301,623.889
wf0076,618.705,600.193,633.259,606.818,614.611,617.074,617.571,614.468,613.044,616.31,617.589,615.723,614.633
wf0077,614.678,603.959,629.296,612.248,614.506,624.5,635.528,628.023,629.982,626.681,621.081,622.062,620.038
wf0078,619.431,600.602,625.393,612.811,614.172,631.222,632.019,630.086,631.352,624.52,620.465,624.775,618.251
wf0079,610.5,595.492,601.454,598.675,608.911,620.144,623.667,616.053,614.004,615.667,607.121,610.064,610.023
wf0080,588.946,575.75,567.302,578.63,585.804,588.464,596.594,592.058,588.896,583.691,582.444,583.23,579.308
wf0081,671.735,660.492,658.502,654.066,668.916,626.67,631.308,622.895,625.076,622.362,622.584,628.481,621.299
wf0082,651.811,641.288,650.877,646.97,646.892,625.959,630.11,625.07,621.951,621.451,620.646,622.794,619.599
wf0083,642.384,633.792,646.079,632.599,634.11,620.498,626.669,622.77,616.164,618.846,617.246,619.189,615.31
wf0084,631.913,625.1,642.158,623.454,632.447,620.778,621.962,620.045,616.764,622.818,615.415,623.903,615.06
wf0085,627.844,612.869,631.347,614.939,627.874,632.247,634.072,629.72,632.032,625.935,625.884,625.507,620.533
wf0086,620.994,615.514,632.672,608.791,620.507,628.544,636.602,635.54,629.923,626.859,623.442,624.612,624.406
wf0087,620.686,613.848,632.046,616.314,623.333,628.646,635.181,632.574,626.314,627.558,619.747,629.177,624.102
wf0088,616.816,605.011,621.705,613.856,622.678,629.413,632.024,629.081,627.11,622.484,617.528,622.63,619.713
wf0089,616.492,612.036,628.493,614.694,618.129,634.138,632.299,639.004,626.665,621.174,621.748,623.045,617.247
wf0090,596.926,588.278,595.241,589.548,600.462,614.239,616.09,612.438,618.612,604.795,604.944,612.505,597.069
wf0091,596.473,582.435,593.981,591.998,604.476,610.814,610.711,612.885,615.915,604.825,601.102,605.833,601.201
wf0092,610.831,595.404,632.409,598.941,606.157,605.678,615.8,608.096,605.387,610.334,607.098,610.2,604.148
wf0093,613.42,604.503,631.446,609.015,615.72,622.119,629.025,624.552,623.209,619.044,619.336,622.79,616.744
wf0094,617.164,602.165,623.971,606.485,616.995,627.587,630.18,627.602,624.471,622.168,619.894,624.166,619.788
wf0095,609.623,599.942,606.441,602.484,611.749,624.998,623.294,624.091,626.248,619.345,612.616,618.698,613.569
wf0096,600.021,592.588,589.95,587.929,604.157,608.716,611.248,608.009,606.117,601.789,599.031,601.584,595.927
wf0097,659.114,650.489,653.526,645.839,659.845,622.667,622.541,620.148,618.478,619.243,610.891,614.806,610.441
wf0098,647.259,632.517,646.048,635.554,647.238,617.193,621.565,617.568,619.247,612.988,611.937,614.985,607.335
wf0099,634.894,621.952,637.911,628.029,631.344,614.093,622.386,615.93,617.077,611.383,610.969,615.152,610.556
wf0100,632.266,619.356,642.292,619.617,625.981,616.603,620.528,616.935,612.403,615.457,613.32,617.544,609.108
wf0101,621.41,612.882,631.058,612.256,620.993,632.489,635.643,631.121,627.351,623.749,624.842,624.084,619.283
wf0102,638.832,623.116,583.116,631.745,637.206,605.388,616.642,610.457,606.364,594.889,587.845,598.975,592.442
wf0103,622.716,606.297,586.252,608.815,615.609,614.704,614.705,612.209,605.216,603.378,596.185,600.411,599.495
wf0104,649.354,633.453,648.504,639.547,643.155,621.284,622.368,619.64,620.272,614.55,615.301,615.47,611.737
wf0105,629.146,612.404,587.9,619.641,630.084,616.991,616.159,616.553,609.708,602.012,596.346,598.317,599.256
wf0106,662.675,652.036,640.964,655.008,659.342,637.948,642.564,634.853,632.826,629.193,628.793,624.454,624.751
wf0107,634.558,623.903,633.178,625.361,631.89,638.234,638.704,638.343,636.213,627.834,622.177,626.377,623.317
wf0108,648.821,634.274,636.341,642.713,644.782,633.624,644.88,637.899,633.232,630.385,625.212,628.748,621.338
wf0109,616.543,605.648,637.474,611.246,607.592,612.125,619.788,612.882,608.012,610.851,606.642,614.26,613.859
wf0110,617.901,602.698,645.276,617.701,611.498,633.346,638.112,630.74,627.247,629.794,622.04,626.939,620.188
wf0111,618.806,618.783,642.493,609.56,617.045,634.019,642.84,642.632,630.863,630.206,630.069,633.751,631.964
wf0112,628.279,615.037,636.632,615.206,622.819,643.843,646.037,647.03,637.585,639.712,634.928,637.567,629.631
wf0113,627.528,612.604,622.154,610.938,623.162,636.312,639.347,639.055,632.983,631.641,623.659,629.741,624.827
wf0114,665.671,655.655,665.188,652.783,660.279,628.162,632.445,629.099,623.086,621.419,617.269,620.024,616.237
wf0115,656.158,645.216,660.234,644.456,652.065,629.21,630.368,621.399,621.83,615.647,617.122,621.327,616.693
wf0116,642.523,627.338,653.952,631.157,639.645,623.148,627.655,619.709,618.694,620.397,614.878,620.302,619.012
wf0117,632.748,625.003,653.886,629.545,626.227,619.817,618.841,618.275,617.568,620.579,609.504,618.214,620.306
wf0118,639.233,619.956,649.22,628.104,629.452,645.253,643.631,646.288,638.603,639.666,634.843,640.035,636.102
wf0119,599.844,589.176,628.93,594.091,595.139,597.257,607.795,604.745,599.991,594.954,594.105,592.588,586.553
wf0120,616.671,599.134,633.914,616.543,612.34,618.131,618.651,615.146,610.539,615.322,607.771,611.169,612.971
wf0121,621.026,607.95,648.925,623.125,622.871,631.367,631.831,633.387,628.593,628.318,623.5,634.196,626.708
wf0122,626.347,612.531,651.613,627.046,623.383,644.072,650.336,644.246,645.656,641.335,637.708,640.82,638.998
wf0123,634.369,617.922,638.153,624.601,620.124,649.356,651.583,646.796,649.107,642.989,641.98,641.301,641.271
wf0124,613.987,603.805,603.082,609.333,612.642,625.361,630.73,624.014,628.108,615.84,612.589,616.87,619.279
wf0125,717.598,695.573,698.931,698.518,700.212,629.775,633.329,628.61,623.881,616.487,610.249,612.362,608.232
wf0126,684.646,670.077,679.94,677.529,676.012,634.068,635.341,631.195,630.954,619.169,613.444,614.046,614.183
wf0127,659.369,640.933,660.488,646.324,648.008,630.692,631.15,630.094,627.888,615.314,616.836,619.484,613.176
wf0128,636.14,627.933,648.422,629.275,631.938,622.613,632.818,626.948,623.008,615.864,618.488,618.641,617.821
wf0129,612.21,597.489,636.299,601.18,597.541,613.836,615.005,614.53,607.549,612.324,609.365,610.327,606.846
wf0130,600.256,584.074,634.48,588.953,582.741,604.191,608.945,606.037,607.107,609.168,608.589,608.569,608.244
wf0131,560.818,557.754,614.771,562.531,562.906,590.453,592.78,591.903,589.077,598.963,593.953,599.548,595.497
wf0132,542.688,525.481,604.745,538.219,536.099,575.415,586.671,580.385,575.135,589.611,590.716,591.42,588.97
wf0133,648.937,623.174,653.126,639.774,634.854,651.034,654.746,651.076,649.068,646.254,638.051,640.598,639.448
wf0134,607.407,600.384,623.091,602.274,605.736,619.31,621.949,622.06,618.194,611.04,612.293,615.246,607.737
wf0135,615.382,602.807,635.891,614.578,610.655,615.84,615.767,611.236,608.399,606.24,606.683,609.663,605.374
wf0136,687.175,675.102,672.788,670.123,673.769,604.576,613.79,612.984,610.884,588.712,589.628,590.653,582.049
wf0137,485.234,481.152,442.365,478.192,484.229,441.888,442.559,442.127,441.717,436.888,437.437,438.777,435.095
wf0138,518.835,511.034,580.381,518.525,517.398,557.565,561.408,557.819,555.302,560.762,563.916,561.419,559.878
wf0139,558.855,546.055,608.638,548.399,549.257,606.296,611.598,606.727,606.298,613.157,610.138,609.524,607.739
wf0140,596.797,589.067,623.255,599.475,604.23,602.069,603.527,603.439,607.488,587.883,591.292,586.87,584.236
wf0141,626.874,612.716,615.362,621.08,635.219,639.627,642.746,640.885,638.652,623.742,626.148,625.867,630.209
wf0142,717.488,704.98,692.308,708.047,714.604,635.806,632.372,629.262,623.817,632.136,624.439,630.469,626.371
wf0143,544.425,540.523,626.93,546.015,549.844,600.812,605.05,600.965,606.746,608.683,611.724,611.506,609.477
wf0144,628.4,622.263,647.251,622.683,625.256,637.216,642.226,639.07,640.635,633.338,632.819,640.136,629.214
wf0145,627.307,617.77,634.374,616.658,620.064,635.116,635.915,636.851,635.392,629.71,622.313,624.53,619.514
wf0146,603.151,594.073,620.495,598.577,600.528,607.614,607.507,609.756,606.434,597.707,598.541,598.771,590.412
wf0147,611.453,605.335,637.165,606.976,613.255,620.431,627.681,620.997,619.308,613.767,618.946,615.7,612.712
wf0148,616.101,607.505,643.712,607.662,612.49,634.351,631.432,632.217,629.878,623.741,622.559,620.021,620.139
wf0149,628.588,614.169,643.623,617.551,627.604,652.38,645.634,647.35,647.103,641.654,633.069,640.188,635.425
wf0150,626.584,615.936,640.795,622.774,618.907,652.112,653.752,649.912,650.094,637.896,637.88,643.296,631.869
wf0151,665.441,654.322,659.384,660.677,659.46,624.409,626.19,619.309,619.447,604.479,601.797,605.933,598.453
wf0152,650.232,640.436,647.762,642.473,646.479,624.065,629.653,624.633,622.394,605.474,603.733,608.613,600.057
wf0153,633.705,626.663,639.932,630.901,636.675,619.32,627.846,617.268,620.775,602.49,600.063,602.644,595.586
wf0154,628.116,619.224,637.382,619.84,628.834,616.736,622.683,615.654,619.744,607.437,599.23,601.027,595.473
wf0155,614.908,606.908,629.787,609.142,614.974,610.635,610.811,611.866,609.456,601.696,596.738,596.835,596.586
wf0156,615.738,598.706,620.543,610.4,608.094,619.337,618.67,623.088,620.418,609.262,608.046,607.01,604.471
wf0157,602.914,596.114,622.251,606.552,607.154,618.951,623.261,618.218,620.38,609.312,608.546,607.732,603.242
wf0158,610.556,594.706,614.508,602.577,604.1,618.496,618.431,622.729,621.226,612.797,601.888,609.597,605.36
wf0159,617.332,605.358,625.36,612.725,616.107,629.445,632.229,629.381,628.985,615.255,620.62,618.374,615.051
wf0160,617.564,603.959,627.844,610.061,614.716,630.861,631.329,626.4,632.031,617.963,613.288,620.948,615.048
wf0161,614.136,595.213,621.918,599.779,604.126,623.492,624.722,623.066,620.452,612.898,606.558,610.624,613.088
wf0162,613.275,598.642,625.742,608.107,610.442,624.578,626.38,623.472,624.227,613.867,614.1,612.83,610.808
wf0163,663.055,648.149,641.378,655.07,658.633,653.568,659.179,656.59,655.134,634.103,636.646,637.749,634.043
wf0164,663.47,646.69,640.617,657.753,659.05,658.448,657.462,656.601,658.098,636.543,639.578,638.652,634.741
wf0165,664.398,647.602,650.0,657.861,653.122,658.188,660.543,654.621,659.074,643.571,643.03,637.853,634.884
wf0166,660.737,651.091,653.738,657.224,655.552,657.047,659.239,660.545,651.867,640.297,635.932,642.349,633.269
wf0167,611.212,601.331,624.526,600.098,609.368,621.565,625.057,623.402,628.471,612.664,608.401,610.672,611.677
wf0168,617.704,601.806,636.053,607.04,610.891,621.259,626.724,621.29,619.536,606.094,606.861,606.671,605.713
wf0169,625.932,617.166,644.389,617.99,628.631,637.909,639.093,634.56,637.318,622.778,625.273,625.166,619.388
wf0170,639.267,619.295,656.806,622.86,626.693,643.255,651.803,645.086,647.937,641.146,637.77,641.791,634.614
wf0171,634.146,625.807,661.527,625.388,640.332,663.62,667.202,662.316,669.049,649.509,652.151,651.843,648.625
wf0172,644.13,627.252,661.389,630.843,637.713,665.829,675.198,671.581,669.112,657.44,654.643,655.87,647.926
wf0173,682.756,660.738,677.584,665.49,673.748,637.95,640.935,634.667,637.544,612.462,607.244,611.615,607.86
wf0174,661.906,650.097,659.704,654.094,652.622,636.177,634.898,634.873,635.836,614.357,609.263,611.163,611.178
wf0175,643.544,640.849,648.397,632.064,643.047,628.981,633.803,635.101,631.113,612.042,610.06,607.602,605.077
wf0176,642.876,631.443,649.938,623.835,639.413,628.811,630.552,631.006,628.401,605.729,607.822,610.313,604.922
wf0177,632.778,610.747,636.233,616.953,615.763,625.675,631.591,622.896,622.733,605.794,603.598,604.333,602.666
wf0178,706.533,690.621,673.104,687.996,695.214,674.004,678.029,677.331,676.697,656.991,654.715,658.253,650.959
wf0179,651.114,635.725,661.576,642.077,646.2,670.452,679.504,669.436,675.252,656.038,651.629,656.662,655.576
wf0180,648.276,644.554,652.122,641.655,648.052,631.918,635.707,629.364,633.925,608.49,607.763,609.598,608.942
wf0181,675.369,662.773,668.693,665.109,673.682,682.678,680.055,673.853,686.181,657.347,657.583,659.37,654.329
wf0182,707.271,692.303,688.01,688.11,697.307,655.208,665.88,659.32,654.495,648.461,643.285,647.974,638.993
wf0183,643.746,632.868,658.102,625.432,640.447,646.616,652.583,650.749,647.295,636.329,636.59,634.467,634.107
wf0184,681.724,661.47,673.308,660.448,661.372,655.578,658.082,660.371,655.405,643.641,644.04,642.016,637.668
wf0185,620.577,606.535,621.374,609.363,614.284,624.069,626.111,622.045,624.162,612.305,606.824,608.599,604.329
wf0186,632.079,614.945,625.749,616.707,624.203,627.843,630.514,627.885,629.795,613.935,611.239,614.361,605.963
wf0187,606.303,592.652,614.856,598.394,605.645,616.277,622.436,616.49,624.867,597.208,601.672,602.721,599.257
wf0188,614.89,592.214,622.233,601.385,606.501,622.514,624.336,621.983,618.614,596.454,593.427,602.965,594.444
wf0189,624.334,608.725,643.749,616.637,624.925,633.049,639.133,634.168,635.527,619.192,620.268,617.141,612.073
wf0190,641.224,618.408,657.278,626.806,630.471,645.759,652.112,642.981,650.099,629.132,635.741,635.663,631.373
wf0191,642.426,628.287,670.118,626.537,640.133,665.076,673.423,664.67,667.979,653.227,651.113,650.867,644.805
wf0192,649.192,628.186,667.528,640.729,637.556,677.782,681.966,674.835,680.827,664.526,656.7,658.93,655.46
wf0193,620.386,597.223,619.974,611.368,608.098,622.621,625.281,616.798,623.806,602.77,603.505,603.866,603.476
wf0194,683.334,662.443,670.46,662.07,663.819,632.378,640.702,633.283,638.3,605.434,605.086,605.046,599.154
wf0195,664.248,641.836,659.62,650.637,648.91,634.554,643.75,631.909,637.122,605.469,605.6,608.247,601.423
wf0196,648.585,626.489,651.484,639.245,640.952,634.656,638.223,627.442,633.036,604.157,605.747,606.808,599.069
wf0197,635.929,622.381,641.36,627.682,627.171,628.348,636.02,625.944,627.086,603.833,603.768,601.323,599.698
wf0198,624.504,608.566,631.659,609.025,614.276,625.084,627.832,623.536,621.384,604.486,604.293,603.347,592.911
wf0199,618.967,598.897,629.286,612.004,607.442,634.047,643.85,639.016,636.25,621.253,615.45,613.183,611.59
wf0200,594.224,582.398,615.05,584.524,588.199,614.773,615.885,610.679,610.966,586.785,589.109,587.674,581.69
wf0201,620.104,614.304,639.546,608.379,615.222,638.006,641.886,633.446,630.624,613.248,606.853,607.356,605.781
wf0202,641.051,629.6,655.789,624.679,636.072,648.556,655.063,648.332,646.783,633.002,632.49,632.854,631.609
wf0203,652.492,632.219,671.727,637.039,643.817,665.224,675.72,671.897,665.549,651.043,659.517,652.586,650.875
wf0204,658.543,649.083,686.738,644.719,650.94,690.8,698.431,694.02,690.196,677.405,671.608,672.37,675.377
wf0205,659.435,650.68,680.185,649.264,659.408,697.884,709.8,700.985,698.67,690.835,682.766,678.111,673.591
wf0206,671.388,645.161,672.043,652.265,654.437,695.649,707.142,701.583,695.81,683.59,681.542,678.68,673.058
wf0207,718.857,688.729,710.326,696.678,694.097,639.092,642.135,637.09,643.228,614.509,610.911,609.857,605.157
wf0208,692.707,662.28,684.413,673.659,675.839,646.51,656.042,653.49,649.648,617.497,617.298,611.033,609.961
wf0209,655.497,643.722,662.805,643.209,649.181,642.339,649.013,646.33,646.117,615.375,617.635,613.276,609.229
wf0210,637.026,628.845,645.431,628.178,630.986,636.452,648.793,637.849,641.493,615.026,609.913,611.5,605.504
wf0211,608.91,602.056,627.73,600.386,602.714,623.55,631.476,626.753,624.326,607.105,603.307,604.325,601.766
wf0212,596.374,584.416,622.455,585.045,591.441,621.315,624.611,615.462,620.273,604.473,603.161,604.008,599.526
wf0213,567.145,560.074,603.564,562.635,561.311,605.934,610.413,608.139,599.936,593.301,592.559,595.255,590.198
wf0214,540.358,530.054,587.192,535.541,534.169,582.302,593.32,586.965,583.107,583.139,579.9,582.852,579.666
wf0215,615.6,598.229,627.202,609.832,605.416,638.357,641.817,634.796,632.73,618.008,615.957,614.848,612.863
wf0216,613.1,606.151,637.251,606.874,610.227,637.013,640.698,635.981,632.201,608.751,609.94,609.423,606.774
wf0217,636.718,627.271,654.711,621.041,633.31,650.042,651.809,656.456,651.9,633.0,630.407,634.359,629.945
wf0218,651.194,639.928,679.816,641.218,650.344,687.355,690.017,681.475,682.143,669.854,662.274,666.177,662.429
wf0219,659.982,644.337,690.378,648.748,654.727,696.009,701.463,697.671,695.261,679.373,673.873,676.015,679.125
wf0220,662.838,651.083,692.61,656.047,660.135,707.103,711.897,701.618,707.01,689.578,690.784,688.227,682.308
wf0221,672.922,653.544,687.581,659.612,658.625,710.703,715.927,710.203,710.615,697.764,686.164,685.857,689.244
wf0222,624.647,602.587,629.218,612.495,615.161,632.641,642.239,630.946,632.889,610.216,615.169,610.622,611.033
wf0223,689.221,658.268,681.335,672.407,664.482,651.653,654.461,646.966,647.05,613.266,612.299,611.706,608.954
wf0224,669.171,646.557,668.673,647.932,658.992,648.734,660.848,646.906,641.06,616.618,613.811,614.699,611.906
wf0225,654.949,641.626,660.64,636.64,648.42,646.829,657.734,644.959,647.325,618.54,620.012,610.952,610.865
wf0226,643.55,621.936,649.567,630.66,624.198,640.735,645.403,637.494,640.484,612.623,607.02,610.863,608.821
wf0227,732.892,701.992,704.491,719.182,711.677,712.289,724.973,710.089,713.364,689.38,680.376,682.471,682.035
wf0228,690.809,667.541,692.406,680.081,679.89,715.299,720.549,712.012,714.289,690.156,687.527,690.233,690.048
wf0229,651.67,643.309,663.078,637.42,651.184,644.714,653.127,640.094,640.812,611.05,611.84,608.397,612.376
wf0230,715.702,687.015,699.28,697.679,703.427,723.925,727.097,717.452,719.588,691.091,688.022,689.273,688.942
wf0231,730.586,697.21,715.46,709.011,711.424,679.343,689.986,678.808,681.609,665.766,663.607,662.043,658.834
wf0232,676.363,659.067,686.97,659.189,662.768,678.192,687.676,680.336,673.788,661.065,656.575,658.117,657.186
wf0233,702.512,678.326,703.03,684.871,686.847,685.27,686.234,679.66,680.816,664.816,662.568,662.457,659.355
wf0234,603.094,588.057,620.667,591.872,593.003,618.12,626.171,621.633,613.826,602.982,602.156,600.919,595.76
wf0235,606.982,587.815,617.94,591.659,595.208,620.607,626.859,622.829,619.604,603.61,598.618,602.894,595.784
wf0236,600.496,589.853,621.183,588.601,599.096,618.145,631.277,624.111,619.704,601.975,599.761,600.229,599.608
wf0237,597.826,589.477,618.097,587.164,597.529,618.466,624.285,623.17,620.591,594.987,595.844,592.371,589.327
wf0238,656.955,635.808,656.251,639.229,648.467,594.241,596.683,585.901,593.024,562.521,564.522,567.784,558.421
wf0239,730.262,705.893,695.185,705.519,717.039,666.034,675.171,663.239,668.109,645.579,642.041,647.71,644.981
wf0240,496.973,488.697,542.881,489.46,488.226,548.594,555.479,549.359,545.39,545.684,541.917,540.021,540.56
wf0241,587.832,568.643,650.627,584.221,581.955,660.8,662.814,654.103,650.791,655.414,654.018,655.342,657.131
wf0242,568.045,560.126,589.113,566.902,566.918,590.293,598.557,588.399,589.418,566.521,566.403,564.83,560.528
wf0243,664.335,648.084,684.053,649.144,658.929,701.355,710.034,704.216,697.652,680.785,678.414,684.577,677.797
wf0244,734.684,715.445,731.831,710.479,719.303,653.359,663.469,652.489,657.182,636.382,633.127,634.32,626.841
